ID;Begriff
812;Betriebliche Altersversorgung
813;Betriebliche Übung
814;Betriebliches Eingliederungsmanagement
815;Betriebs- und Geschäftsgeheimnis
816;Betriebsbuße
817;Betriebsfinanzamt
818;Betriebsführungsvertrag
819;Betriebsgefahr
820;Betriebshilfe
821;Betriebsjustiz
822;Betriebskosten
823;Betriebskostenspiegel
824;Betriebskostenverordnung
825;Betriebsordnung
826;Betriebsorganisatorisch eigenständige Einheit
827;Betriebspachtvertrag
828;Betriebspflicht
829;Betriebsrentengesetz
830;Betriebsrentenstärkungsgesetz
831;Betriebsrisiko
832;Betriebsrisikolehre
833;Betriebswirtschaftslehre
834;Betriebszweck
835;Betriebsüberlassungsvertrag
836;Betroffener
837;Betrug
838;Bettie Jones
839;Betäubungsmittel
840;Beurkundung
841;Beurteilungsspielraum
842;Bewaffneter Konflikt
843;Bewegungsgeld
844;Beweis
845;Beweisantizipation
846;Beweislastumkehr
847;Beweismaß
848;Beweismittelbetrug
849;Beweissichernde Festnahme
850;Beweissicherung
851;Beweisverbot
852;Bewerbungskosten
853;Bewertungsgesetz
854;Bewertungswahlrecht
855;Bewilligung
856;Bewusstseinsstörung
857;Bewährungshilfe
858;Bezirksausschuss
859;Bezirksbürgermeister
860;Bezirksrat
861;Bezirksversammlung
862;Bibel
863;Bibliotheksreferendariat
864;Bibliothekstantieme
865;Bienenrecht
866;Bierlieferungsvertrag
867;Biersteuer
868;Bilanzeid
869;Bilanzfälschung
870;Bilanzkosmetik
871;Bilanzrechtsmodernisierungsgesetz
872;Bilanzrechtsreformgesetz
873;Bilanzrichtlinie-Umsetzungsgesetz
874;Bilaterale III
875;Bilaterale Verträge zwischen der Schweiz und der Europäischen Union
876;Bildnis
877;Bildschirmarbeitsverordnung
878;Bildtitel
879;Bildträger
880;Bildungsinländer
881;Bildungsurlaub
882;Bildzitat
883;Billigkeit
884;Billigungsklausel
885;Bindungsgrenzen
886;Binnenalster-Verordnung
887;Binnenhaftung wegen quotaler Unterkapitalisierung
888;Binnenkonsens
889;Black Site
890;Blackbox Abschiebung
891;Black’s Law Dictionary
892;Blankettverweisung
893;Blaue Karte EU
894;Blaue Steine
895;Bleibeperspektive
896;Blindenware
897;Blinkfüer-Entscheidung
898;Blue-pencil-Test
899;Bluhm’sche Massentheorie
900;Blutentnahme
901;Blutgericht
902;Blutkreislauf
903;Blutrache
904;Bodenschätzungsgesetz
905;Bodo Pieroth
906;Boiler room scam
907;Bonitarisches Eigentum
908;Bosphorus-Entscheidung
909;Bote
910;Boulevard
911;Brandenburg
912;Brandschutz in Tunneln
913;Brandschutzbeauftragter
914;Brandstiftung
915;Branntwein
916;Branntweinmonopolgesetz
917;Branntweinsteuer
918;Breiter Stein
919;Bremer BAMF-Affäre
920;Bremer Tabelle zur Berechnung des Altersvorsorgeunterhalts
921;Brett des Karneades
922;Brevi manu
923;Brexit-Steuerbegleitgesetz
924;Briefgeheimnis
925;Britische Besatzungszone
926;Bruttobauland
927;Bruttokaltmiete
928;Bruttowarmmiete
929;Brückenprüfung
930;BuS-Betreuung
931;Buchauszug
932;Buchgeld
933;Buchpreisbindungsgesetz
934;Bugwellentheorie
935;Bund
936;Bund der Steuerzahler Deutschland
937;Bund der Wohnungs- und Grundeigentümer
938;Bund-Länder-Vereinbarung nach Artikel 91b GG
939;Bundes-Angestelltentarifvertrag
940;Bundes-Immissionsschutzgesetz
941;Bundesamt für Finanzen
942;Bundesamt für Migration und Flüchtlinge
943;Bundesanzeiger
944;Bundesarbeitsblatt
945;Bundesarbeitsgericht
946;Bundesausbildungsförderungsgesetz
947;Bundesbeamtengesetz
948;Bundesbeamter
949;Bundesbeirat für Integration
950;Bundesbesoldungsgesetz
951;Bundesdatenschutzgesetz
952;Bundesdisziplinaranwalt
953;Bundesdisziplinargesetz
954;Bundesdisziplinarordnung
955;Bundesebene
956;Bundeselterngeld- und Elternzeitgesetz
957;Bundesfernstraßengesetz
958;Bundesfinanzdirektion
959;Bundesgebührengesetz
960;Bundesgerichtshof
961;Bundesgeschäftsführer
962;Bundesgesetz
963;Bundesgesetzblatt
964;Bundesgremienbesetzungsgesetz
965;Bundeshaushaltsgesetz
966;Bundeskindergeldgesetz
967;Bundeskriminalamt
968;Bundeskriminalamtgesetz
